company_name,fyear,status_label,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses,division,majorgroup,division_name,majorgroup_name
C_48,1999,alive,1167179.0,10774203.0,3867672.0,3750413.0,818972.0,1615627.0000000002,2434599.0,2434599.0,163422.0,1193967.0,783633.9999999999,2917561.0,922159.0,6302271.0,25985208.4,6566975.0,6302271.0,3867672.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2000,alive,1780700.0,12182.0,4446300.0,4611700.0,927800.0,1692900.0,2620700.0,2620700.0,239900.0,1515900.0,1928800.0,3852900.0,1273600.0,7067.0,19541938.5,7085200.0,7067.0,4446300.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2001,alive,1767800.0,12609.0,4759800.0,3861500.0,1082200.0,1756900.0,2839100.0,2839100.0,163800.0,1285100.0,1067.0,4485700.0,1241200.0,7598900.0,19169016.9,7041900.0,7598900.0,4759800.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2002,alive,1646.0,16389099.999999998,4950300.0,6145500.0,1088400.0,1944700.0,3033100.0,3033100.0,139900.0,1819200.0,924300.0,4990800.0,1290400.0,7983400.0,15870333000.0,10390.0,7983400.0,4950300.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2003,alive,1729100.0,16661099.999999998,3317100.0,5581200.0,1247700.0,1917.0,3164700.0,4662800.0,122100.0,1492700.0,1330100.0,5959100.0,890.0,7979900.0,14562957.5,9637900.0,7979900.0,4815200.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2004,alive,1616800.0,16603700.0,3449700.0,5352400.0,1299700.0,1972500.0,3272200.0,4796400.0,156800.0,1460300.0,1046200.0,6628200.0,912700.0,8246100.0,17761267.7,9474100.0,8246100.0,4973900.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2005,alive,4365400.0,24013100.0,4041300.0,5782900.0,1482600.0,2167600.0,3650200.0,5445700.0,232600.0,2404800.0,1331400.0,7292300.0,1077200.0,9487.0,24205538.6,10992100.0,9487.0,5836800.0,E,48,"Transportation, Communications & Utilities",Communications
C_48,2006,alive,2032100.0,18343700.0,3519735.0,2697400.0,1239900.0,1369065.0,2608965.0,4364265.0,218600.0,1197300.0,1129400.0,8000300.0,807300.0,7884.0,22045322.9,5676.0,7884.0,5275035.0,E,48,"Transportation, Communications & Utilities",Communications
C_59,1999,alive,34333.0,76893.0,158936.0,0.0,5158.0,-6527.0,-1369.0,-1369.0,0.0,36497.0,-8084.0,69283.0,29678.0,157567.0,17073000.0,36497.0,157567.0,158936.0,E,42,"Transportation, Communications & Utilities",Trucking & Warehousing
C_59,2001,alive,103715.0,113324.0,13216.0,0.0,770.0,1676.9999999999998,2447.0,2447.0,0.0,96690.0,-1243.0,45371.0,102028.0,15663.0,8548.8,96690.0,15663.0,13216.0,E,42,"Transportation, Communications & Utilities",Trucking & Warehousing
